Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId
"Curtis Mead","TBR","2B/3B/SS",484.3800048828125,190.808,-1.2316900508959612,-16.55103851008156,-17.967432037552243,-3.479715048159024,-9.931590751859602,-49.161466398548384,12.523778086147336,-35.637688312401046,-48.680319428683276,,"23986"
"Austin Wynns","CIN","C",750.5499877929688,80.894,-1.4472794758612086,-20.255703848473168,-21.778765256165745,-4.001383156097939,-11.342234099134421,-58.825365835732484,22.117745166372163,-35.70762066936032,-48.775146968087874,,"15271"
"Jose Herrera","ARI","C",999,97.186,-1.755214735001694,-20.26452981738643,-21.233438559982687,-3.9162309885292004,-11.65842573564454,-58.82783983654456,22.117745166372163,-35.71009467017239,-48.778501687129165,,"17040"
"Jared Walsh",,"1B",746.6599731445312,215.404,-3.829214450066636,-15.16024038654517,-16.75113238056085,-3.705847712261198,-8.288699757330587,-47.73513468676444,10.957028713941792,-35.778105972822644,-48.87072429712615,,"18607"
"Roberto Perez","BOS","C",999,57.283,-1.062321043412185,-20.63694612116238,-22.11626716857221,-4.014995056426278,-11.183535543336799,-59.014064932909854,22.117745166372163,-35.89631976653768,-49.03102095619925,,"2900"
"Nick Allen","OAK","SS",749.280029296875,278.072,-3.1995518816176034,-17.70444621507446,-15.958220954817698,-1.7104429919472968,-10.87521920018501,-49.44788124364207,12.523778086147336,-35.92410315749473,-49.068694941680775,,"22277"
"Daniel Vogelbach","TOR","DH",750.8900146484375,198.71,-2.7584506557822372,-15.296836890445265,-17.008232055242075,-4.07557591611936,-8.231939891979641,-47.37103540956858,10.379521535884653,-35.99151387368393,-49.160103162762844,,"14130"
"Jace Peterson","ARI","2B/3B",746.510009765625,180.713,-1.9382631085707696,-17.47658896218253,-17.274667115383576,-2.0200943264350135,-10.223609382650883,-48.93322289522277,11.93962418498594,-35.993598710236824,-49.16293017916796,,"12325"
"Drew Romo","COL","C",999,41.943,-0.13040977498350245,-21.169929140084317,-22.531721438167562,-3.789604229308914,-11.669510857251764,-59.291175439796056,22.117745166372163,-36.17343027342389,-49.40677988459461,,"sa3014522"
"Cristian Pache","PHI","OF",750.77001953125,194.072,-2.7835317624434053,-17.05595284108239,-17.568704286900058,-2.6300837658322758,-9.958457478041192,-49.99673013429933,12.77060137079154,-36.22612876350779,-49.47823848204906,,"19948"
"Yuli Gurriel",,"1B",999,206.705,-1.4754031735693238,-16.050117728388845,-17.444099897534134,-3.3854787697689184,-9.829835048419604,-48.184934617680824,10.957028713941792,-36.22790590373903,-49.48064826548312,,"19198"
"Brett Sullivan","SDP","C",999,49.248,-0.5889142841396696,-21.040522698290292,-22.52690795157732,-3.8735521108026876,-11.719594174616784,-59.74949121942675,22.117745166372163,-36.6317460530546,-50.02825125410655,,"18217"
"Drew Millas","WSN","C",999,48.123,-0.48642441314360696,-21.203793384828646,-22.496475951331895,-3.8732072511279156,-11.73206681003811,-59.791967810470176,22.117745166372163,-36.674222644098016,-50.08584906413444,,"25643"
"Nick Pratto","KCR","1B/OF",699.6599731445312,222.264,-4.8087006314044975,-16.048959549711903,-16.927080817656545,-3.456174823243268,-9.24846838155973,-50.489384203575945,12.77060137079154,-36.7187828327844,-50.14627221061863,,"22117"
"Carter Kieboom","WSN","3B",747.0599975585938,240.237,-2.9427629567936147,-15.500242363482274,-16.65744487406242,-3.7839329593001003,-9.227962090404015,-48.11234524404242,10.379521535884653,-36.732823708157774,-50.16531148972541,,"19958"
"Manny Pina",,"C/DH",999,33.764,-0.3756497528899398,-21.195558301010152,-22.827413133921763,-4.053684449575225,-11.453449392664602,-59.90575503006168,22.117745166372163,-36.78800986368951,-50.240143335323324,,"2829"
"Corey Dickerson",,"OF",999,175.915,-1.0723311856294673,-17.147959191600492,-18.414929050550075,-3.535380199765296,-10.427003937246438,-50.59760356479177,12.77060137079154,-36.82700219400023,-50.293016524499116,,"10762"
"Cam Gallagher",,"C",999,81.965,-2.1314167857071498,-20.43780783154771,-21.94511748129777,-3.995798385776339,-11.482538759418794,-59.99267924374776,22.117745166372163,-36.87493407737559,-50.35801165346581,,"12981"
"Richie Palacios","TBR","OF",560.9099731445312,175.861,-1.4438564484891574,-17.77285940706848,-18.180869670329667,-2.8019323157277327,-10.554736821205335,-50.75425466282037,12.77060137079154,-36.98365329202883,-50.505433763342225,,"24589"
"Ben Rortvedt","NYY","C",999,47.076,-1.0623428642640567,-21.06479630736107,-22.51615197020247,-4.032486308355703,-11.443612143332617,-60.11938959351591,22.117745166372163,-37.00164442714375,-50.52982955304851,,"20287"
"Rafael Marchan","PHI","C",999,37.958,-0.25397375266817834,-21.343208320105234,-22.801270534977505,-4.017238432858441,-11.835503656893865,-60.251194697503216,22.117745166372163,-37.133449531131056,-50.70855588568679,,"21646"
"Francis Dingler","DET","C",999,37.707,-0.6854722745075693,-21.292436710360978,-22.837955646759553,-4.034715846036938,-11.601793031274335,-60.45237350893937,22.117745166372163,-37.33462834256721,-50.98135223487807,,"sa3014528"
"Donny Sands","DET","C/DH",999,42.105,-0.635400597899915,-21.281840966522502,-22.764901619889116,-4.019133447462621,-11.75530980004915,-60.4565864318233,22.117745166372163,-37.338841265451144,-50.98706491393189,,"18603"
"P.J. Higgins","CIN","C/1B",999,43.301,-0.6613711763640928,-21.266553392034808,-22.756018853542127,-4.0507901372676915,-11.77096461071802,-60.50569816992674,22.117745166372163,-37.38795300355458,-51.05365991348186,,"18433"
