Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId
"Shane Drohan","CHW","RP",999,53.5488,-7.423451910595954,-6.635951135703708,-10.878539932173464,-8.637743227842263,-5.757938792303477,-39.33362499861886,10.894477086331825,-27.439147912287037,-37.5631850054188,,"sa3014447"
"Slade Cecconi","ARI","RP",745.0900268554688,55.4276,-5.802976655041758,-11.508334647151061,-7.315559519444951,-9.382064444751196,-5.456827516436941,-39.46576278282591,10.894477086331825,-27.57128569649408,-37.74236244893077,,"27500"
"Clayton Beeter","NYY","RP",999,46.4208,-6.169257325096455,-9.06583821077213,-9.216984505830183,-9.263711848344048,-5.757938792303477,-39.47373068234629,10.894477086331825,-27.579253596014464,-37.75316683675058,,"sa3014536"
"Bryse Wilson","MIL","RP",999,61.932,-7.100891605473036,-13.253789641769853,-9.573146749764332,-9.33416077417692,-0.27505563159562063,-39.53704440277976,10.894477086331825,-27.64256731644793,-37.83901957474355,,"19990"
"Jose Suarez","LAA","SP",740.02001953125,60.8935,-5.826224554485956,-13.657570757439455,-13.84303291599665,-8.514170988305317,-5.440066079492472,-47.28106529571985,18.604142185251224,-27.67692311046864,-37.88560566954902,,"19911"
"Mike Clevinger",,"SP",419.0199890136719,117.223,0.6728770833579981,-24.224597576127746,-16.058461258940618,-2.028466720504375,-5.757938792303477,-47.3965872645182,18.604142185251224,-27.792445079266983,-38.04225224238941,,"12808"
"Reid Detmers","LAA","SP",235.11000061035156,150.899,4.250349499163881,-27.04732505920839,-25.410897834975078,6.356699953960876,-5.757938792303477,-47.60911223336219,18.604142185251224,-28.004970048110962,-38.33043386151101,,"27468"
"Ryne Stanek",,"RP",999,54.4828,-5.489301217400118,-9.883067815874965,-10.978928124275448,-8.055509172578159,-5.757938792303477,-40.164745122432166,10.894477086331825,-28.270268036100333,-38.69017513870938,,"15947"
"Jose Urquidy","HOU","SP",480.7900085449219,104.993,-1.4180313939717872,-23.43949385203157,-12.993853276485702,-4.673796569414036,-5.434611146868573,-47.959786238771684,18.604142185251224,-28.355644053520457,-38.80594411902315,,"18413"
"Osvaldo Bido","OAK","SP/RP",999,52.5717,-6.406204844429906,-12.628252527712936,-13.833824975282354,-9.799741428612128,-5.474432036790954,-48.142455812828274,18.604142185251224,-28.538313627577057,-39.05364213729472,,"23150"
"Luis Ortiz","PHI","RP",999,44.4332,-8.130428678605332,-8.43613346007557,-8.21198441128759,-10.184526079497852,-5.493524212300541,-40.45659684176688,10.894477086331825,-28.56211975543506,-39.085922995908426,,"16942"
"Andrew Wantz","LAA","RP",999,42.2121,-8.123700484154915,-9.775234291586557,-7.020168218515306,-10.131381978896803,-5.440066079492472,-40.490551052646055,10.894477086331825,-28.596073966314226,-39.131964548204046,,"24933"
"Jordan Balazovic",,"RP",999,35.613,-9.125372989937716,-6.225658489683075,-8.308456721588774,-11.389896407301755,-5.455637362754462,-40.50502197126578,10.894477086331825,-28.610544884933955,-39.151586961423035,,"21866"
"Ryan Weathers","MIA","SP",745.8499755859375,53.8066,-6.276612150275494,-13.075080256759914,-14.265714316357649,-9.393027667414001,-5.46391892884801,-48.47435331965507,18.604142185251224,-28.870211134403842,-39.50369166051088,,"23796"
"Merrill Kelly","ARI","SP",149.74000549316406,160.595,5.874983508268021,-25.395648440354055,-28.48630482571181,5.280699810957473,-5.757938792303477,-48.48420873914385,18.604142185251224,-28.880066553892632,-39.51705550552566,,"11156"
"Tim Hill","CHW","RP",748.1300048828125,48.1679,-7.823141175536741,-8.538162150423487,-12.775162374117343,-11.976212422834376,0.25402152019954966,-40.8586566027124,10.894477086331825,-28.964179516380568,-39.63111179665579,,"16814"
"Brandon Walter","BOS","RP",999,39.5114,-6.8124649751586865,-8.191121882932329,-8.211258904879852,-11.953301797886668,-5.757938792303477,-40.92608635316102,10.894477086331825,-29.031609266829186,-39.722545827993116,,"26056"
"Daniel Bard","COL","RP",738.510009765625,52.4166,-7.193667829105735,-10.378414836122545,-15.441258224377385,-8.914513832079722,0.9722845436815493,-40.95557017800383,10.894477086331825,-29.061093091672003,-39.76252558391223,,"7115"
"McLean Abel","PHI","RP",999,40.818,-6.975272583820975,-8.733078778691713,-9.09560044183577,-10.45128006438084,-5.757938792303477,-41.013170661032774,10.894477086331825,-29.118693574700945,-39.84063123216504,,"sa3014534"
"Randy Vasquez","SDP","SP",568.469970703125,102.568,-0.26107198046919533,-18.543574056723777,-20.051830230020826,-4.149862298197785,-5.757938792303477,-48.76427735771506,18.604142185251224,-29.160135172463832,-39.89682560220662,,"24719"
"Huascar Ynoa","ATL","RP",696.280029296875,49.4382,-6.059993057641794,-10.722134736347215,-9.898057994948472,-9.469555961115603,-5.441851324795199,-41.591593074848284,10.894477086331825,-29.697115988516455,-40.62496593248886,,"20468"
"Ian Gibaut","CIN","RP",749.8300170898438,56.5885,-7.203003379687069,-12.886771290245065,-13.447823606410202,-8.232351300092713,0.17373490258657712,-41.59621467384848,10.894477086331825,-29.70173758751665,-40.631232772051526,,"17871"
"Davis Daniel","LAA","RP",726.9600219726562,46.0161,-7.30229535521608,-10.638595616516248,-7.995019404179658,-10.297683550653682,-5.440066079492472,-41.67366000605815,10.894477086331825,-29.77918291972632,-40.73624782675776,,"27582"
